"Libellé";"Indice CVS-CJO de la production industrielle (base 100 en 2021) - Préparation de jus de fruits et légumes (NAF rév. 2, niveau classe, poste 10.32)";"Codes"
"idBank";"010767621";""
"Dernière mise à jour";"06/05/2025 08:45";""
"Période";"";""
"2025-03";"83.12";"A"
"2025-02";"89.51";"A"
"2025-01";"89.94";"A"
"2024-12";"96.64";"A"
"2024-11";"91.59";"A"
"2024-10";"82.75";"A"
"2024-09";"90.67";"A"
"2024-08";"87.8";"A"
"2024-07";"91.73";"A"
"2024-06";"91.65";"A"
"2024-05";"97.85";"A"
"2024-04";"99.78";"A"
"2024-03";"99.79";"A"
"2024-02";"99.36";"A"
"2024-01";"102.1";"A"
"2023-12";"100.61";"A"
"2023-11";"103.06";"A"
"2023-10";"103.32";"A"
"2023-09";"101.01";"A"
"2023-08";"110.03";"A"
"2023-07";"100.59";"A"
"2023-06";"105.01";"A"
"2023-05";"101.91";"A"
"2023-04";"100.23";"A"
"2023-03";"103.18";"A"
"2023-02";"101.92";"A"
"2023-01";"101.56";"A"
"2022-12";"103.93";"A"
"2022-11";"108.38";"A"
"2022-10";"109.86";"A"
"2022-09";"114.48";"A"
"2022-08";"110.72";"A"
"2022-07";"110.82";"A"
"2022-06";"108.9";"A"
"2022-05";"101.11";"A"
"2022-04";"105.74";"A"
"2022-03";"107.22";"A"
"2022-02";"108.59";"A"
"2022-01";"105.03";"A"
"2021-12";"103.76";"A"
"2021-11";"102.38";"A"
"2021-10";"107.22";"A"
"2021-09";"100.6";"A"
"2021-08";"101.69";"A"
"2021-07";"101.56";"A"
"2021-06";"97.01";"A"
"2021-05";"95.83";"A"
"2021-04";"97.03";"A"
"2021-03";"102.5";"A"
"2021-02";"94.25";"A"
"2021-01";"96.16";"A"
"2020-12";"102.07";"A"
"2020-11";"122.91";"A"
"2020-10";"122.52";"A"
"2020-09";"132.47";"A"
"2020-08";"116.06";"A"
"2020-07";"115.26";"A"
"2020-06";"113.97";"A"
"2020-05";"112.8";"A"
"2020-04";"113.96";"A"
"2020-03";"112.63";"A"
"2020-02";"120.46";"A"
"2020-01";"116.4";"A"
"2019-12";"113.93";"A"
"2019-11";"111.77";"A"
"2019-10";"114.27";"A"
"2019-09";"112.66";"A"
"2019-08";"115.53";"A"
"2019-07";"118.14";"A"
"2019-06";"121.78";"A"
"2019-05";"123.8";"A"
"2019-04";"122.87";"A"
"2019-03";"119.29";"A"
"2019-02";"121.8";"A"
"2019-01";"125.02";"A"
"2018-12";"123.09";"A"
"2018-11";"121.22";"A"
"2018-10";"127.75";"A"
"2018-09";"123.43";"A"
"2018-08";"119.79";"A"
"2018-07";"119.28";"A"
"2018-06";"111.59";"A"
"2018-05";"126.51";"A"
"2018-04";"128.51";"A"
"2018-03";"124.58";"A"
"2018-02";"119.17";"A"
"2018-01";"126.85";"A"
"2017-12";"123.78";"A"
"2017-11";"126.73";"A"
"2017-10";"126.19";"A"
"2017-09";"130.23";"A"
"2017-08";"131.72";"A"
"2017-07";"130.67";"A"
"2017-06";"130.84";"A"
"2017-05";"125.04";"A"
"2017-04";"128.53";"A"
"2017-03";"133.01";"A"
"2017-02";"133.19";"A"
"2017-01";"128.89";"A"
"2016-12";"132.51";"A"
"2016-11";"135.19";"A"
"2016-10";"136.19";"A"
"2016-09";"137.28";"A"
"2016-08";"136.16";"A"
"2016-07";"136.28";"A"
"2016-06";"118.84";"A"
"2016-05";"129.46";"A"
"2016-04";"133.29";"A"
"2016-03";"119.55";"A"
"2016-02";"124.78";"A"
"2016-01";"124.59";"A"
"2015-12";"128.22";"A"
"2015-11";"119.22";"A"
"2015-10";"115.67";"A"
"2015-09";"124.14";"A"
"2015-08";"127.32";"A"
"2015-07";"124.61";"A"
"2015-06";"135.67";"A"
"2015-05";"132.41";"A"
"2015-04";"132.72";"A"
"2015-03";"136.63";"A"
"2015-02";"132.8";"A"
"2015-01";"138.68";"A"
"2014-12";"137.44";"A"
"2014-11";"146.61";"A"
"2014-10";"135.96";"A"
"2014-09";"133.21";"A"
"2014-08";"128.01";"A"
"2014-07";"134.2";"A"
"2014-06";"136.45";"A"
"2014-05";"132.58";"A"
"2014-04";"129.09";"A"
"2014-03";"129.11";"A"
"2014-02";"132.14";"A"
"2014-01";"129.24";"A"
"2013-12";"125.07";"A"
"2013-11";"129.87";"A"
"2013-10";"124.05";"A"
"2013-09";"122.47";"A"
"2013-08";"127.67";"A"
"2013-07";"128.01";"A"
"2013-06";"124.8";"A"
"2013-05";"130.5";"A"
"2013-04";"131.79";"A"
"2013-03";"132.97";"A"
"2013-02";"125.9";"A"
"2013-01";"124.21";"A"
"2012-12";"117.64";"A"
"2012-11";"124.35";"A"
"2012-10";"126.03";"A"
"2012-09";"129.78";"A"
"2012-08";"121.51";"A"
"2012-07";"120.96";"A"
"2012-06";"121.93";"A"
"2012-05";"121.57";"A"
"2012-04";"118.98";"A"
"2012-03";"132.2";"A"
"2012-02";"122.46";"A"
"2012-01";"116.24";"A"
"2011-12";"126.39";"A"
"2011-11";"122.19";"A"
"2011-10";"122.9";"A"
"2011-09";"123.05";"A"
"2011-08";"124.91";"A"
"2011-07";"122.34";"A"
"2011-06";"117.96";"A"
"2011-05";"118.94";"A"
"2011-04";"116.86";"A"
"2011-03";"119.5";"A"
"2011-02";"119.63";"A"
"2011-01";"119.66";"A"
"2010-12";"126.47";"A"
"2010-11";"119.78";"A"
"2010-10";"118.24";"A"
"2010-09";"115.5";"A"
"2010-08";"113.58";"A"
"2010-07";"123.4";"A"
"2010-06";"118.69";"A"
"2010-05";"114.89";"A"
"2010-04";"121.88";"A"
"2010-03";"115.21";"A"
"2010-02";"114.77";"A"
"2010-01";"114.62";"A"
